001  00001 | Loss: 1.414 | Acc: 29.167% | lr: 0.001000
001  00002 | Loss: 1.431 | Acc: 23.958% | lr: 0.001000
001  00001 | Loss: 1.467 | Acc: 23.958% | lr: 0.001000
001  00002 | Loss: 1.470 | Acc: 21.354% | lr: 0.001000
001  00003 | Loss: 1.466 | Acc: 20.486% | lr: 0.001000
001  00004 | Loss: 1.468 | Acc: 19.792% | lr: 0.001000
001  00005 | Loss: 1.459 | Acc: 20.833% | lr: 0.001000
001  00006 | Loss: 1.445 | Acc: 21.701% | lr: 0.001000
001  00007 | Loss: 1.442 | Acc: 21.280% | lr: 0.001000
001  00008 | Loss: 1.431 | Acc: 23.047% | lr: 0.001000
001  00009 | Loss: 1.423 | Acc: 23.843% | lr: 0.001000
001  00010 | Loss: 1.421 | Acc: 23.646% | lr: 0.001000
001  00011 | Loss: 1.413 | Acc: 24.621% | lr: 0.001000
001  00012 | Loss: 1.406 | Acc: 25.608% | lr: 0.001000
001  00013 | Loss: 1.403 | Acc: 26.042% | lr: 0.001000
001  00014 | Loss: 1.400 | Acc: 26.637% | lr: 0.001000
001  00015 | Loss: 1.391 | Acc: 27.639% | lr: 0.001000
001  00016 | Loss: 1.382 | Acc: 28.971% | lr: 0.001000
001  00001 | Loss: 1.396 | Acc: 26.042% | lr: 0.001000
001  00002 | Loss: 1.400 | Acc: 26.042% | lr: 0.001000
001  00003 | Loss: 1.393 | Acc: 27.778% | lr: 0.001000
001  00001 | Loss: 1.405 | Acc: 26.042% | lr: 0.001000
001  00002 | Loss: 1.408 | Acc: 28.125% | lr: 0.001000
001  00003 | Loss: 1.418 | Acc: 26.042% | lr: 0.001000
001  00004 | Loss: 1.411 | Acc: 26.302% | lr: 0.001000
001  00005 | Loss: 1.401 | Acc: 26.667% | lr: 0.001000
001  00006 | Loss: 1.395 | Acc: 27.604% | lr: 0.001000
001  00007 | Loss: 1.391 | Acc: 27.976% | lr: 0.001000
001  00008 | Loss: 1.381 | Acc: 29.036% | lr: 0.001000
001  00009 | Loss: 1.376 | Acc: 30.324% | lr: 0.001000
